(7b8f,cacd) (596f,cacd)
(13a57,9457d) (649c7,9457d)
(47d35,5cb8d) (2d675,5cb8d)
(524a1,c3bbf) (c1da1,c3bbf)
(11871,34267) (25771,34267)
(90df,54fd7) (3eddf,54fd7)
(3c87d,69f25) (608d5,69f25)
(3e89,519d3) (10ef9,519d3)
(5f969,60deb) (8ed9,60deb)
(1b11b,35deb) (172b3,35deb)
(4e83,2dd6d) (1c943,2dd6d)
(449a7,8df0b) (68c17,8df0b)
(25175,32089) (c131,32089)
(28de1,2b1ef) (13401,2b1ef)
(126d7,7ec91) (12443,7ec91)
(7f99,e345) (6289,e345)
(499,2b79) (49,2b79)
(91409,9dbef) (32b1,9dbef)
(b7a1,14f29) (ddd9,14f29)
(3bad9,7a8e5) (4da49,7a8e5)
(1668b,43ccd) (7547,43ccd)
(c02b,2c90f) (2252b,2c90f)
(44015,6f1af) (6b615,6f1af)
(34965,b2b7f) (17195,b2b7f)
(eb8d,1acd1) (1863d,1acd1)
(cf61,38b25) (3258d,38b25)
(52859,8da5d) (5a969,8da5d)
(7531,1a28b) (2bb1,1a28b)
(5377,20087) (94ff,20087)
(d2d,12a9) (f25,12a9)
(4d179,66827) (1771,66827)
(256e7,9cb27) (3349f,9cb27)
(3e23,ebb5) (d21f,ebb5)
(1d6db,4e173) (21353,4e173)
(6900b,9d49b) (8a93b,9d49b)
(625f,42343) (3d69f,42343)
(d981,152d5) (c2d1,152d5)
(12899,1cfe1) (73f9,1cfe1)
(3311,b6ff) (86b1,b6ff)
(1ca63,2612f) (21a2b,2612f)
(682b,cdabf) (370e3,cdabf)
(2badd,6d393) (66ccd,6d393)
(c1dcf,d3f57) (b173f,d3f57)
(eeeb,27caf) (22dcb,27caf)
(7249,d8b9) (6d09,d8b9)
(2013b,2f983) (42cb,2f983)
(116f,48d3) (22df,48d3)
(ff7,2183) (997,2183)
(3b2f,7801) (1cb7,7801)
(180d3,1b073) (e9d3,1b073)
(5958d,65b4b) (48445,65b4b)
(5a4d,b7cd) (b1dd,b7cd)
(1d93b,833b1) (41167,833b1)
(18a41,19ad1) (18749,19ad1)
